date,hour,aircraft,latitude,longitude,PBL_height
2016-07-18,16.767,C130,38.37,-75.32,300
2016-07-18,17.087,B200,37.12,-76.49,894
2016-07-18,17.217,C130,39.06,-74.82,550
2016-07-18,17.397,C130,39.15,-74.9,522
2016-07-18,18.702,C130,41.86,-80.87,576
2016-07-18,18.847,C130,41.82,-80.79,757
2016-07-18,19.067,B200,41.8,-80.84,885
2016-07-18,19.167,C130,41.44,-79.96,-9999
2016-07-18,20.232,C130,39.02,-74.57,445
2016-07-18,20.667,C130,38.49,-73.49,520
2016-07-18,20.957,B200,38.9,-75.01,652
2016-07-18,21.242,C130,38.09,-75.35,200
2016-07-18,21.532,B200,37.25,-76.22,680
2016-07-19,13.112,C130,37.82,-75.66,350
2016-07-19,15.317,C130,38.44,-73.54,808
2016-07-19,16.567,C130,40.76,-78.35,2257
2016-07-19,17.512,C130,37.97,-77.53,1051
2016-07-19,17.877,C130,38.32,-78.05,990
2016-07-19,18.487,C130,37.77,-75.72,240
2016-07-21,16.107,C130,37.84,-75.72,270
2016-07-21,16.562,C130,37.67,-78.13,1066
2016-07-21,18.912,C130,39.28,-78.14,1112
2016-07-21,19.287,B200,37.04,-76.52,460
2016-07-21,19.747,B200,37.57,-78.28,1080
2016-07-21,19.757,C130,39.25,-80.94,1960
2016-07-21,20.192,C130,39.24,-80.82,1470
2016-07-21,20.377,C130,39.16,-80.72,1866
2016-07-21,20.442,B200,37.96,-80.6,2446
2016-07-21,20.567,B200,38.39,-80.6,1845
2016-07-21,21.287,C130,37.74,-75.76,-9999
2016-07-21,21.337,C130,37.84,-75.63,-9999
2016-07-21,21.507,B200,37.66,-78.49,1945
2016-07-21,21.927,B200,37.09,-76.69,407
2016-07-22,15.262,B200,37.06,-76.59,470
2016-07-22,15.417,B200,37.23,-77.12,612
2016-07-22,15.837,B200,37.66,-78.62,650
2016-07-22,16.002,B200,37.64,-79.15,1665
2016-07-22,16.082,C130,38.08,-75.48,160
2016-07-22,16.627,C130,40.2,-76.24,1128
2016-07-22,16.822,B200,39.71,-79.13,1585
2016-07-22,17.282,B200,39.72,-77.6,-9999
2016-07-22,17.447,C130,38,-77.21,1445
2016-07-22,17.992,C130,39.88,-78.17,880
2016-07-22,18.822,C130,37.73,-78.71,1567
2016-07-22,19.577,C130,38.83,-78.92,1190
2016-07-22,19.897,C130,37.64,-78.52,1896
2016-07-22,20.377,C130,37.77,-75.78,590
2016-07-22,21.137,B200,39.83,-77.85,1160
2016-07-22,21.327,B200,39.81,-78.42,1020
2016-07-22,22.092,B200,37.59,-78.1,1066
2016-07-22,22.217,B200,37.41,-77.62,1112
2016-07-22,22.412,B200,37.14,-76.89,1005
2016-07-22,22.512,B200,37.04,-76.54,990
2016-07-25,15.057,C130,37.84,-75.64,450
2016-07-25,15.182,B200,37.05,-76.61,370
2016-07-25,15.302,C130,37.68,-76.73,833
2016-07-25,15.577,C130,38.09,-77.82,750
2016-07-25,15.972,C130,39.03,-79.25,-9999
2016-07-25,16.267,C130,39.74,-80.51,-9999
2016-07-25,16.977,B200,40.39,-81.88,1118
2016-07-25,17.372,C130,41.82,-85.06,1225
2016-07-25,17.652,C130,41.58,-84.31,1253
2016-07-25,18.162,C130,40.27,-81.54,-9999
2016-07-25,18.362,C130,39.82,-80.68,2289
2016-07-25,18.627,C130,39.16,-79.44,2430
2016-07-25,18.877,B200,37.42,-76.23,960
2016-07-25,18.982,B200,37.16,-76.23,925
2016-07-25,19.407,C130,37.85,-75.62,155
2016-07-26,14.597,C130,38.33,-75.5,220
2016-07-26,15.037,B200,37.04,-76.54,627
2016-07-26,15.182,B200,36.96,-77.07,520
2016-07-26,15.642,C130,40.76,-78.38,-9999
2016-07-26,16.562,C130,36.82,-77.48,-9999
2016-07-26,16.687,B200,40.91,-78.45,-9999
2016-07-26,16.777,C130,37.44,-77.64,-9999
2016-07-26,16.837,B200,41.01,-77.97,1843
2016-07-26,17.047,B200,41.11,-77.09,-9999
2016-07-26,17.592,C130,40.97,-78.51,1802
2016-07-26,17.817,C130,40.93,-78.48,1818
2016-07-26,18.302,B200,41.23,-76.96,-9999
2016-07-26,18.337,C130,40.89,-76.43,-9999
2016-07-26,18.832,C130,38.44,-75.52,460
2016-07-26,19.922,B200,37.08,-76.4,-9999
2016-07-27,16.677,B200,37.47,-76.8,740
2016-07-27,16.867,C130,38.7,-75.58,300
2016-07-27,17.342,B200,39.39,-77.72,1112
2016-07-27,18.042,B200,40.77,-77.94,2070
2016-07-27,18.237,B200,40.75,-77.99,2080
2016-07-27,18.557,C130,40.79,-77.99,2289
2016-07-27,18.787,C130,40.76,-78.01,2240
2016-07-27,19.012,C130,40.87,-78.07,-9999
2016-07-27,19.277,B200,43.34,-78.82,1480
2016-07-27,19.357,C130,40.65,-77.99,-9999
2016-07-27,19.602,B200,42.18,-78.44,2160
2016-07-27,19.787,B200,41.56,-78.24,2336
2016-07-27,20.102,C130,42.81,-78.65,-9999
2016-07-27,20.417,B200,39.63,-77.63,1680
2016-07-27,21.147,C130,38.48,-75.74,830
2016-07-27,21.342,B200,39.39,-77.82,800
2016-07-27,22.037,B200,37.14,-76.63,850
2016-08-03,14.467,B200,40.84,-97.05,752
2016-08-03,16.087,C130,40.8,-96.99,785
2016-08-03,16.537,C130,41.1,-99.68,-9999
2016-08-03,17.017,C130,41.32,-102.72,-9999
2016-08-03,17.237,B200,45.87,-105.85,2210
