Zila_Name,Upazila_Name,Per_Rural_Pop,Pov_headcount_ratio,Per_Extreme_poverty_headcount_ratio,Per_Primary_employment_Agriculture,Per_Primary_employment_Industry,Per_Primary_employment_Service,Per_Lit_pop_18_years_and_older,Per_of_underweight _child,Per_of_stunted_child
BARISAL,AGAILJHARA,93.4,51.1,38.2,64.0,7.7,28.3,62.6,30.4,36.8
BARGUNA,AMTALI,91.9,22.8,12.0,72.1,5.0,22.9,51.9,34.5,39.4
BARISAL,BABUGANJ,93.2,48.7,36.8,51.7,10.0,38.3,68.9,28.9,36.1
BARISAL,BAKERGANJ,93.6,55.4,42.2,50.5,11.3,38.2,61.8,31.6,38.9
BARGUNA,BAMNA,90.2,17.0,8.9,59.5,14.0,26.5,62.3,31.1,38.5
BARISAL,BANARI PARA,89.1,52.2,38.1,53.6,5.7,40.7,67.6,29.6,37.3
BARGUNA,BARGUNA SADAR,87.9,19.2,9.9,56.9,6.3,36.8,58.1,31.7,38.9
BARISAL,BARISAL SADAR (KOTWALI),36.0,49.9,31.0,17.6,13.7,68.7,71.2,27.3,38.5
PATUAKHALI,BAUPHAL,94.6,24.0,13.9,50.8,11.9,37.3,56.9,33.9,40.5
BARGUNA,BETAGI,89.3,19.6,10.3,62.5,7.6,29.9,57.4,31.8,37.7
PIROJPUR,BHANDARIA,83.6,42.0,29.9,49.9,11.1,39.0,68.3,29.3,37.0
BHOLA,BHOLA SADAR,80.1,49.2,35.7,52.4,4.5,43.1,43.6,36.7,43.7
BHOLA,BURHANUDDIN,83.4,28.3,16.3,67.9,5.5,26.6,45.4,37.4,41.6
BHOLA,CHAR FASSON,90.3,28.2,14.9,72.6,9.4,17.9,42.3,38.3,42.8
PATUAKHALI,DASHMINA,83.6,21.8,11.3,67.0,5.7,27.3,45.0,36.1,41.6
BHOLA,DAULAT KHAN,89.8,30.3,18.0,66.0,6.0,28.0,40.1,38.3,43.6
PATUAKHALI,DUMKI,83.6,22.0,13.1,53.4,8.3,38.3,63.0,31.7,38.2
PATUAKHALI,GALACHIPA,92.9,26.0,14.4,76.0,4.6,19.4,44.0,36.6,41.2
BARISAL,GAURNADI,78.4,55.5,39.9,59.3,12.2,28.5,59.2,31.0,37.2
BARISAL,HIZLA,90.5,62.3,49.5,78.4,8.3,13.3,41.0,37.8,40.7
JHALOKATI,JHALOKATI SADAR,74.9,37.7,22.3,43.4,11.3,45.3,68.8,27.5,35.7
PATUAKHALI,KALA PARA,85.2,20.3,9.7,67.6,9.0,23.5,53.3,34.4,40.3
JHALOKATI,KANTHALIA,91.7,34.2,21.4,59.6,11.1,29.3,66.3,28.9,35.6
PIROJPUR,KAWKHALI,86.7,52.2,39.6,47.6,9.7,42.8,66.9,28.5,39.9
BHOLA,LALMOHAN,87.4,27.8,15.2,74.2,5.5,20.3,38.0,39.5,42.0
BHOLA,MANPURA,98.9,32.8,19.4,80.2,3.5,16.3,33.4,40.6,46.1
PIROJPUR,MATHBARIA,88.9,38.0,25.6,59.4,7.6,33.0,61.7,30.8,38.6
BARISAL,MEHENDIGANJ,89.1,64.4,50.0,74.6,7.1,18.3,49.6,36.2,40.2
PATUAKHALI,MIRZAGANJ,81.8,17.8,9.6,61.1,11.5,27.5,58.1,31.6,38.7
BARISAL,MULADI,88.7,58.2,44.1,67.4,8.9,23.7,53.0,34.1,36.9
JHALOKATI,NALCHITY,83.9,46.5,32.5,45.8,11.8,42.4,68.4,29.6,38.5
PIROJPUR,NAZIRPUR,97.6,51.5,36.6,72.2,6.2,21.6,59.2,31.7,37.2
PIROJPUR,NESARABAD (SWARUPKATI),77.7,43.3,30.1,35.1,14.6,50.3,69.1,27.8,39.4
BARGUNA,PATHARGHATA,82.7,12.9,6.1,65.5,8.8,25.7,61.8,30.3,36.9
PATUAKHALI,PATUAKHALI SADAR,78.7,36.9,23.3,48.3,9.8,41.9,57.9,32.5,40.1
PIROJPUR,PIROJPUR SADAR,63.6,42.7,28.7,38.2,9.7,52.1,72.2,27.3,36.6
JHALOKATI,RAJAPUR,89.1,42.0,29.8,45.6,7.3,47.0,66.3,29.5,37.9
BHOLA,TAZUMUDDIN,83.8,22.3,11.3,75.1,10.8,14.0,42.9,38.3,42.5
BARISAL,WAZIRPUR,94.9,52.1,37.8,62.1,8.8,29.1,61.3,31.1,36.5
PIROJPUR,ZIANAGAR,92.3,49.1,35.8,55.1,13.9,31.0,60.9,32.0,39.5
BRAHMANBARIA,AKHAURA,75.1,26.9,12.9,43.7,7.4,48.8,53.9,35.9,40.8
BANDARBAN,ALIKADAM,71.5,42.9,23.2,81.4,2.4,16.2,29.7,44.5,48.1
CHITTAGONG,ANOWARA,97.9,15.5,5.6,42.0,14.2,43.8,49.1,32.9,42.7
BRAHMANBARIA,ASHUGANJ,79.9,21.8,9.6,22.5,20.1,57.4,49.0,36.9,43.2
RANGAMATI,BAGHAICHHARI,80.3,24.8,8.1,80.8,3.5,15.7,39.9,34.7,44.4
CHITTAGONG,BAKALIA,0.0,4.9,0.7,2.2,25.4,72.4,59.5,41.1,36.2
BRAHMANBARIA,BANCHHARAMPUR,93.3,27.3,13.2,58.4,8.9,32.7,37.6,43.2,43.3
BANDARBAN,BANDARBAN SADAR,54.4,30.8,15.6,51.1,4.8,44.0,44.7,34.9,43.8
CHITTAGONG,BANSHKHALI,91.5,27.9,11.3,64.0,8.6,27.5,33.8,38.9,45.1
RANGAMATI,BARKAL,96.2,26.1,8.5,80.8,0.9,18.2,40.3,28.2,44.1
COMILLA,BARURA,87.9,37.9,20.2,65.6,6.3,28.1,51.9,39.4,38.1
CHITTAGONG,BAYEJID BOSTAMI,0.0,9.2,2.2,1.6,40.4,58.0,69.4,38.3,35.7
NOAKHALI,BEGUMGANJ,75.9,5.9,1.8,23.3,11.3,65.4,62.6,36.7,42.3
RANGAMATI,BELAI CHHARI,90.3,34.7,14.6,77.0,1.1,21.9,30.4,34.6,47.2
BRAHMANBARIA,BIJOYNAGAR,97.1,35.8,19.1,68.3,6.8,24.9,38.0,37.7,43.2
CHITTAGONG,BOALKHALI,77.1,10.5,3.8,17.8,18.6,63.6,60.9,29.1,43.2
COMILLA,BRAHMAN PARA,96.8,39.9,21.7,58.6,5.0,36.4,53.0,35.7,39.0
BRAHMANBARIA,BRAHMANBARIA SADAR,62.7,26.0,12.2,27.8,10.8,61.4,54.1,34.0,42.3
COMILLA,BURICHANG,96.0,33.3,17.3,46.1,10.8,43.2,57.6,31.5,39.2
COX'S BAZAR,CHAKARIA,84.4,28.5,13.2,48.9,10.1,41.0,46.9,33.2,43.5
CHITTAGONG,CHANDANAISH,84.5,13.5,4.8,31.7,13.9,54.3,52.1,29.0,43.3
CHITTAGONG,CHANDGAON,0.0,16.9,4.9,0.7,43.9,55.5,71.9,35.0,34.6
COMILLA,CHANDINA,86.0,41.2,22.6,57.8,9.9,32.2,50.8,38.9,39.5
CHANDPUR,CHANDPUR SADAR,63.6,45.5,25.9,37.7,12.0,50.2,56.7,36.9,40.6
NOAKHALI,CHATKHIL,86.3,4.8,1.5,40.9,6.8,52.2,69.6,34.7,38.4
COMILLA,CHAUDDAGRAM,91.5,34.4,19.0,41.4,12.8,45.8,56.0,36.7,40.7
FENI,CHHAGALNAIYA,73.7,25.9,14.4,34.9,12.4,52.7,65.4,33.2,40.2
CHITTAGONG,CHITTAGONG PORT,0.0,12.4,3.6,0.7,57.9,41.4,78.6,34.8,32.1
COMILLA,COMILLA ADARSHA SADAR,45.6,24.4,12.6,12.7,14.8,72.5,67.9,32.1,39.0
COMILLA,COMILLA SADAR DAKSHIN,74.9,33.3,19.3,43.9,13.1,43.0,56.0,35.9,39.0
NOAKHALI,COMPANIGANJ,88.0,7.6,2.5,43.9,10.3,45.7,53.9,36.7,42.3
COX'S BAZAR,COX'S BAZAR SADAR,52.7,26.2,12.2,23.5,7.2,69.3,49.7,38.0,46.2
FENI,DAGANBHUIYAN,86.7,16.3,7.5,29.5,10.3,60.2,60.6,36.2,41.8
COMILLA,DAUDKANDI,86.2,38.5,21.0,51.5,10.3,38.2,50.4,35.4,40.8
COMILLA,DEBIDWAR,86.1,41.4,24.5,51.6,10.8,37.6,51.3,37.7,40.6
KHAGRACHHARI,DIGHINALA,85.9,22.5,8.2,77.2,3.3,19.5,44.3,33.7,43.3
CHITTAGONG,DOUBLE MOORING,0.0,0.0,0.0,0.3,31.3,68.4,72.1,36.3,33.9
CHANDPUR,FARIDGANJ,91.2,46.6,26.8,57.1,13.7,29.2,58.4,39.5,38.4
CHITTAGONG,FATIKCHHARI,92.0,17.6,7.1,36.2,15.0,48.8,51.4,33.4,45.4
FENI,FENI SADAR,70.1,18.6,9.4,17.5,15.6,66.8,64.5,31.6,41.4
FENI,FULGAZI,96.4,31.8,17.8,37.3,12.3,50.4,61.9,28.2,40.2
CHANDPUR,HAIM CHAR,92.1,61.3,41.0,72.5,9.5,17.9,44.7,38.1,41.7
CHANDPUR,HAJIGANJ,79.4,53.7,32.5,46.7,12.2,41.1,60.3,36.6,40.2
CHITTAGONG,HALISHAHAR,0.0,5.6,1.1,2.1,19.4,78.5,74.6,35.7,33.8
CHITTAGONG,HATHAZARI,100.0,1.1,0.1,14.5,13.8,71.7,65.9,25.7,43.1
NOAKHALI,HATIYA,81.1,16.0,5.9,75.2,2.6,22.2,33.5,42.4,46.7
COMILLA,HOMNA,85.7,38.3,19.8,50.0,10.6,39.3,39.0,38.8,43.7
RANGAMATI,JURAI CHHARI,78.9,19.3,6.2,85.5,2.4,12.2,40.9,34.9,43.1
NOAKHALI,KABIRHAT,91.6,12.4,4.4,47.6,7.2,45.2,51.3,40.8,45.9
CHANDPUR,KACHUA,92.9,56.3,35.0,58.3,7.4,34.4,50.9,38.5,41.0
LAKSHMIPUR,KAMALNAGAR,94.5,18.7,7.6,73.7,6.1,20.2,29.9,40.1,45.8
RANGAMATI,KAPTAI,77.2,12.2,3.9,48.5,14.9,36.6,56.0,32.5,39.8
BRAHMANBARIA,KASBA,87.3,25.5,11.9,57.5,10.4,32.1,50.8,37.5,39.8
RANGAMATI,KAWKHALI (BETBUNIA),83.9,23.4,8.7,66.0,5.9,28.2,43.6,33.5,44.2
KHAGRACHHARI,KHAGRACHHARI SADAR,38.1,19.5,7.3,45.8,2.6,51.5,55.0,34.6,41.4
CHITTAGONG,KHULSHI,0.0,1.1,0.1,1.2,23.9,74.9,70.7,39.6,36.0
CHITTAGONG,KOTWALI,0.0,0.3,0.0,0.4,23.5,76.1,82.2,28.2,33.4
COX'S BAZAR,KUTUBDIA,80.4,31.1,13.8,55.4,2.0,42.6,33.0,35.9,46.3
COMILLA,LAKSAM,75.9,37.4,20.0,36.0,7.3,56.7,55.5,38.3,41.6
KHAGRACHHARI,LAKSHMICHHARI,93.0,31.0,12.6,91.7,1.5,6.8,25.1,40.5,45.5
LAKSHMIPUR,LAKSHMIPUR SADAR,87.7,45.6,28.8,47.8,10.7,41.5,53.0,39.1,41.4
BANDARBAN,LAMA,82.8,41.0,21.6,71.1,11.8,17.1,30.8,35.8,48.6
RANGAMATI,LANGADU,86.7,29.3,9.9,80.8,7.9,11.4,40.8,34.0,44.3
CHITTAGONG,LOHAGARA,89.0,18.3,6.9,31.6,15.4,53.0,51.1,34.5,45.0
KHAGRACHHARI,MAHALCHHARI,80.3,21.4,7.5,75.3,1.2,23.5,41.3,35.2,43.5
COX'S BAZAR,MAHESHKHALI,91.1,40.2,21.4,71.5,5.1,23.3,29.3,34.3,46.1
KHAGRACHHARI,MANIKCHHARI,43.0,30.1,12.8,65.8,1.2,33.1,38.2,43.6,47.2
COMILLA,MANOHARGANJ,99.5,47.1,28.0,51.8,6.3,41.9,57.2,39.3,40.0
KHAGRACHHARI,MATIRANGA,81.0,28.3,11.4,68.9,3.0,28.1,41.2,37.7,45.5
CHANDPUR,MATLAB DAKSHIN,72.0,53.7,32.4,51.9,11.0,37.2,56.3,39.6,40.3
CHANDPUR,MATLAB UTTAR,87.2,49.9,28.6,53.7,12.5,33.8,53.4,36.6,40.2
COMILLA,MEGHNA,94.4,37.3,19.0,52.7,12.7,34.6,41.4,32.8,42.2
CHITTAGONG,MIRSHARAI,92.1,13.4,4.6,42.1,8.1,49.8,53.8,36.5,41.0
COMILLA,MURADNAGAR,94.1,45.0,27.0,55.8,9.0,35.2,47.4,39.6,41.6
BRAHMANBARIA,NABINAGAR,89.3,30.5,15.0,60.6,9.2,30.2,43.3,42.2,41.2
BANDARBAN,NAIKHONGCHHARI,71.5,46.0,26.3,72.7,7.3,20.0,31.2,44.7,49.2
COMILLA,NANGALKOT,92.8,45.1,26.2,52.9,11.2,35.9,51.5,42.4,41.4
RANGAMATI,NANIARCHAR,85.6,21.2,6.2,89.4,1.4,9.2,41.4,31.8,42.2
BRAHMANBARIA,NASIRNAGAR,94.8,43.7,25.0,74.9,7.8,17.4,31.8,40.8,44.9
